signal,horizon,ic,oos_r2,oos_ic,p_value_ic,a_s_cost_bps,expected_return_bps,survival,n_obs
btc_leads_eth_lag1,1hour,8.340922592314439e-19,-6.424670709215263e-05,,0.9999999999999993,7.447818472546172,6.484893971311762e-17,False,907368
btc_leads_eth_lag3,1hour,7.003227459584763e-18,-6.42467070934849e-05,,0.9999999999999947,7.447818472546172,5.444863806101384e-16,False,907368
btc_leads_eth_lag5,1hour,8.340922592314439e-19,-6.424670709259672e-05,2.99043598934585e-17,0.9999999999999993,7.447818472546172,6.484893971311762e-17,False,907368
btc_return_positive_pct,1hour,-0.00983493170854584,2.5432626189814123e-05,-0.011247282968950362,0.0,7.447818472546172,-0.7645771607348716,False,906705
ofi_depth1,1hour,0.09090796951502364,0.0105771768250994,0.10430207265252948,0.0,7.447818472546172,7.067905701407402,False,907368
trade_count,1hour,,-6.424670709237468e-05,,,7.447818472546172,,False,907368
sma_5,1day,-0.030542781385216416,-0.016560480565383617,-0.07693461979094837,0.0,36.486709909225844,-10.955373847577539,False,905732
ema_5,1day,-0.030522811286765063,-0.01635755165339603,-0.07671453781857249,0.0,36.486709909225844,-10.94867048428251,False,905872
sma_10,1day,-0.030552018170356854,-0.016744104902269186,-0.07700305359181114,0.0,36.486709909225844,-10.95805374341615,False,905557
ema_10,1day,-0.030501949567402698,-0.016327270011390116,-0.07661124271816655,0.0,36.486709909225844,-10.94118729117529,False,905872
sma_20,1day,-0.030591391555496946,-0.017139421224825035,-0.07714180359886816,0.0,36.486709909225844,-10.970592302998082,False,905214
ema_20,1day,-0.030466400043073143,-0.016279390692707674,-0.07642922521247023,0.0,36.486709909225844,-10.928435515983269,False,905872
sma_50,1day,-0.030599289351513796,-0.01642213607481735,-0.07365469140646268,0.0,36.486709909225844,-10.969124449757286,False,904199
ema_50,1day,-0.030376753013615834,-0.016184739613789523,-0.07592670036070115,0.0,36.486709909225844,-10.89627872098161,False,905872
sma_200,1day,-0.031046848350192946,-0.020167637167826546,-0.07076348676831548,0.0,36.486709909225844,-11.112431747673428,False,899099
ema_200,1day,-0.030025564865338476,-0.01571803368545277,-0.07413715820476502,0.0,36.486709909225844,-10.770305943528394,False,905872
sma_ratio_5_20,1day,-0.013298133073512488,-0.0011326230473884813,-0.024120311427777767,0.0,36.486709909225844,-4.76893625698128,False,905214
sma_ratio_20_50,1day,-0.014556174783657417,-0.0010986768842700112,-0.031796983694798824,0.0,36.486709909225844,-5.218045781395181,False,904199
sma_ratio_50_200,1day,-0.0207931246078212,-1.4941630271270157e-05,-0.06280493079883007,0.0,36.486709909225844,-7.442371458095066,False,899099
ema_diff_12_26,1day,-0.017304313510355357,-0.00040375680426762983,-0.035414697464210665,0.0,36.486709909225844,-6.207135535505205,False,905872
macd_line,1day,-0.017304313510355357,-0.00040375680426762983,-0.035414697464210665,0.0,36.486709909225844,-6.207135535505205,False,905872
macd_signal,1day,-0.01734120832594841,-0.0003463025005574494,-0.03597291900831268,0.0,36.486709909225844,-6.220369872759122,False,905872
macd_histogram,1day,-0.0032513908569384844,-0.0015978659778950188,-0.0050878442871364815,0.001970849933516927,36.486709909225844,-1.1662886086664028,False,905872
adx_14,1day,0.0018390050268539018,-0.0015634387917831116,0.007844318079978202,0.08022317077625063,36.486709909225844,0.6593993449819896,False,904918
adx_28,1day,0.0015047958379551234,-0.0018522118101060858,0.014968993477207688,0.15250519643675453,36.486709909225844,0.539394428639507,False,903995
rsi_7,1day,0.002840655702062455,-0.0018046208841924205,-0.011320877042795992,0.007001056230055314,36.486709909225844,1.018582043140894,False,901276
rsi_14,1day,0.005584599940761779,-0.002090639654860338,-0.010316870387120517,1.0738450173519709e-07,36.486709909225844,2.002886550130011,False,905346
rsi_28,1day,0.007885731370247567,-0.002339094493859273,-0.009982044382805874,6.306066779870889e-14,36.486709909225844,2.8274926981158197,False,904908
rsi_14_zscore,1day,-0.0006219443485542177,-0.0017667183596614677,-0.005869518808462131,0.5545319088630594,36.486709909225844,-0.22286633975002912,False,902917
stoch_k,1day,-0.0008274123222065305,-0.001618606169726311,-0.011563248644505681,0.4311024383523612,36.486709909225844,-0.29675152938183186,False,905409
stoch_d,1day,-0.00025339768837571335,-0.0016613895826387282,-0.012136483050489293,0.8094731121014493,36.486709909225844,-0.09087842671525286,False,905339
stoch_diff,1day,-0.0013598446293500936,-0.0015592654880243195,-0.0008697736795513486,0.19570635274911852,36.486709909225844,-0.4876940325883695,False,905339
cci_14,1day,0.003938989978615082,-0.001806341520422361,-0.00760421217561878,0.0001781890606997738,36.486709909225844,1.4127267302072748,False,905414
